id,sentence,intent
37,من بعد اذنك في حجز ذهاب و اياب على دبي 29 /1 الذهاب و 5 /2 الاياب  ؟؟؟,booking_availablity
46,صباح الخير لو سمحت في بعد بكرة حجز ع بغداد من مطار دمشق,booking_availablity
1431,هل يوجد اماكن يوم الخميس دمش بغداد,booking_availablity
211,في حجز رحلة من مسقط الى دمشق يوم الجمعة ٢٧ الشهر,booking_availablity
527,في حجز ٦/٧ بيروت دمشق,booking_availablity
720,بدي استفسر اذا في حجز ذهاب واياب بتاريخ 5/3 ذهاب من دمشق الدولي للشارقة واياب بتاريخ 14/4,booking_availablity
767,لوحابب احجز من الدوحه عحلب في حجز,booking_availablity
782,هل في حجز من دمشق الى البحرين,booking_availablity
1077,هل يوجد حجز مباشر لحلب  من الامارات ليوم,booking_availablity
1079,هل يوجد حجز في تاريخ 8/2/2023,booking_availablity
1112,مرحبا بدي اعرف اذا في حجز طيارة من بيروت الى دمشق الجمعة صباحا في ١٠/٢,booking_availablity
1116,بتاريخ ١٨ شهر اذار الذهاب من ابو ظبي والعودة بتاريخ ٢٩ شهر نيسان من دمشق مفتوح الحجز,booking_availablity
1278,هل يوجد حجز بيوم ٢٧ من دبي إلى دمشق,booking_availablity
1477,يوجد حجز غدا الى دمشق,booking_availablity
1516,ممكن اعرف اذا في حجز ٣ مقاعد من الشام للقامشلي قبل العيد آخر رمضان,booking_availablity
1590,بدي استفسر عن حجز  بدي اسأل إذا متوفر حجز من بيروت ل دمشق ذهاب بس,booking_availablity
1742,هل يوجد حجز من مسقط الى حلب وبالعكس,booking_availablity
2041,رحله من تاريخ 22/3 والعوده 1/5 من مطار الكويت الى مطار دمشق الدولي,booking_availablity
2203,هل يوجد حجز مباشر من الرياض الى دمشق,booking_availablity
2252,في حجز من الكويت الى دمشق  تاريخ 4/22 الى 4/29,booking_availablity
1792,رحلة دم دمشق إلى بغداد تاريخ ١٣.٣.٢٠٢٣ ذهاب فقط موجود,booking_availablity
541,هل يوجد حجز ب  تشرين الاول؟,booking_availablity
245,"بدي استفسر عن الحجوزات بشهر 4 ، ايام 6_13_20 رحله مباشر ، من دمشق الى مسقط",booking_availablity
1450,لو سمحت حابب اعرف امتى في حجوزات من دمشق الى دبي ذهاب و اياب,booking_availablity
1613,لوسمحتوا في حجز من موسكو على مطار اللاذقية؟,booking_availablity
1818,"اريد ان احجز رحلة طيران من بيروت إلى دمشق، وأريد الدفع إلكترونيا، لم استطيع ان احجز",booking_issues
865,عم حاول شوف سعر التكت و عم دخل كل شي مطلوب بس اخر شي ما بيطلع شي,booking_issues
582,كيف فيني احجز,booking_methods
583,السلام عليكم لدي سؤال بعد اذنكم كيف يمكنني حجز في شركتكم الى دمشق او حلب علما انني الان مقيم في بلجيكا الرجاء منكم اعطائي بعض الارشادات للحجز تحياتي لكم و الى جميع العامليت معكم,booking_methods
980,بدي احجز من السعودية لدمشق شلون,booking_methods
981,مرحبا لو سمحتو أنا بجدة وبدي احجز عن طريقكم لأنزل ع الشام شو الطريقة,booking_methods
982,كيف بدي احجز من المانيا,booking_methods
1113,كيف ممكن احجز من ابوظبي الى دمشق,booking_methods
1378,أنا سوري موجود بطهران كيف بدي احجز على دمشق,booking_methods
1605,انا بالبحرين بغيت اشتري تذكره من الكويت الى دمشق شنو الطريقه,booking_methods
1706,نحن عائله من اربع اشخاص من موسكو الى دمشق نبحث عن بطاقات طيران نعيش في بيلاروسيا فسؤال كيف فينا نشتري بطاقات من بيلاروسيا,booking_methods
2048,فيني اشتري تكت ل 3اشخاص اونلاين,booking_methods
2263,كيف ممكن احجز بطاقات طيران ذهاب اياب من الكويت لدمشق اونلاين؟,booking_methods
2292,كيفية الحجز,booking_methods
2293,كيف بدي احجز لاربيل ذهاب فقط,booking_methods
1125,لو سمحتو طريقة الحجز من الرياض الى دمشق,booking_methods
1038,حجزت اليوم برحلة دمشق القامشلي يوم ١٩ فبراير وحابب اجل الحجز تبعي شو التكاليف الي بتترتب عالبطاقة,change_book_cost_inquiry
2227,اريد ان اسبق في حجز العودة,change_book_inquiry
1194,لو سمحتو كم رحلة في للرياض من دمشق,flight_schedules_inquiry
2101,هل يوجد خصومات ؟او عروض ؟,offer_inquiry
2210,كم كلفه عرض العطلات رحله دبي لشخصين بعيد الفطر,offer_inquiry
2100,كيف ألية الدفع ممكن عن طريق تحويل مصرفي ؟,payment_methods
733,من سوريا إلى الإمارات شو بتكلف,ticket_price_inquiry
1494,بدي استفسر عن الحجوز بشهر 7 من الشارقة الى حلب ذهاب و اياب كم ؟,ticket_price_inquiry
1813,هل يوجد طيران من أي بلد أوربي إلى دمشق؟,flight_schedules_inquiry
1923,ممكن أعرف كم رحلة في بالأسبوع من مسقط لدمشق,flight_schedules_inquiry
31,بدي احجز تكت من دمشق ل مطار الشارقة,book_flight
32,"اذا سمحت اريد ان احجز بطاقة سفر من بيروت الى دمشق، هذا الاسبوع",book_flight
33,لو سمحت بدي احجز ع دمشق من الرياض,book_flight
34,أرغب بالحجز من دمشق إلى الرياض,book_flight
35,بدي احجز من الشارقة للشام تو واي,book_flight
36,عايز احجز ع مطار حلب يوم 2/8,book_flight
38,لو سمحت بدنا نحجز شخصين مع طفلين من الشام لا بيروت,book_flight
39,بدي احجز ذهاب٢/٢٣على الشارقة من دمشق واياب ٤/٣٠,book_flight
40,بدي احجز الى امريكا,book_flight
41,بدي حجز تذكرة السوريا,book_flight
42,مرحبا اريد حجز لشخصين الى الرياض مع نهاية الاسبوع القادم,book_flight
43,اريد حجز رحلة اربيل دمشق لاكن لشخص حالته خاصة عندة ضرب عملية جراحية في رجله يحتاج كرسي,book_flight
44,بدي احجز ع اللادقية من الشترقة بتاريخ 25/04,book_flight
45,ممكن حجز من الشام بتاريخ ٣٠,book_flight
141,لو سمحت اذا بدي احجز ع دبي روحه رجعه لشخصين,book_flight
225,تذاكر من طهران الى برلين المانيا خمسة اطفال وبالغ واحد  يوم ٢/١ او ٢/٢/٢٠٢٣,book_flight
570,اريد الحجز من جدة الى حلب شخصين,book_flight
573,محتاج تذكرتين من سوريا للكويت ذهاب و اياب,book_flight
574,بدي احجز من دمشق للرياض يوم ٢٨/١,book_flight
575,السلام عليكم رحله من دمشق الشارقه بتاريخ 15هدا الشهر والرجوع بعد 60 يوم شخص واحد,book_flight
577,ابحث عن حجز من بيروت الى دمشق او حلب بتاريخ 5 او 6 او 7 شباط 2023,book_flight
578,حجز حلب الشارقة,book_flight
579,سلام عليكم من بيروت ع حلب ذهاب 6.2.2023,book_flight
580,اريد حجز طيران من الرياض الى دمشق,book_flight
581,مرحبا اريد تكت من المانيا دوسلدورف إلى دمشق,book_flight
584,لو سمحت ممكن أحجز تذكرة عدمشق,book_flight
979,حاب احجز للشام من تاريخ 16 مايو الى 21 مايو من الكويت,book_flight
984,اود ان احجز تذكره لسوريا,book_flight
985,حجز طيران من حلب سوريا إلى الشارقة شخص بالغ تاريخ 22/2 وحتى 22/04,book_flight
987,بدي أحجز  لإخواتي البنات  من دمشق للرياض,book_flight
1319,"لو سمحت بدي احجز 2 تيكت طيران من مطار حلب إلى مطار الشارقة بتاريخ ذهاب 25 فبراير وعودة 22 ابريل ،  ممكن مساعدة بهالموضوع؟",book_flight
1419,بدی تذکر ایاب وذهاب  من طهران الی دمشق,book_flight
1432,بدي احجز من الشارقة بتاريخ 1 ابريل و الرجعة ب 23 ابريل,book_flight
1453,اريد انا احجز من حلب الى يريفان ذهاب و اياب,book_flight
1528,بدي احجز من حلب للإمارات لمدة اسبوعين,book_flight
1658,بدي احجز من ماليزيا لسوريا ذهاب,book_flight
1662,اريد حجز من تهران إلى دمشق الاسبوع المقبل,book_flight
1691,بدي احجز على يوم السبت,book_flight
1733,صباح الخير. اود السفر مع اجنحة الشام من دوسولدورف الى القامشلى,book_flight
1781,انا مقيم في الدوحة بدي حجز من الدوحة على دمشق من دمشق على القامشلي,book_flight
1829,بدي احجز من الكويت الى دمشق تاريخ 25/6,book_flight
1838,اوك الحجز من مطار الشارقة إلى مطار حلب بتاريخ 10\6 والعودة 8\7 السبت,book_flight
1892,بدي احجز الي ولزوجتي من الشام للرياض,book_flight
1930,اريد الحجز من دمشق,book_flight
1932,شراء التذكرة من دنشق,book_flight
1938,لوسمحت بدي احجز من الرياض الى دمشق,book_flight
2019,حجز من دمشق الى النجف,book_flight
2039,حجز من الرياض لدمشق تاريخ ١٥/٤ هودة بعد 20 يوم,book_flight
2099,بدي احجز تذكرة الي و لزوجتي و طفلين من دمشق للشارقة ذهاب 24-4-2023 إياب 29-4-2023,book_flight
2182,انا بكندا و أريد حجز تذكرة اون لاين كويت دمشق كويت,book_flight
2247,من فضلك بدي احجز للشارقة,book_flight
2274,انا بدي احجز رحلة من جده الى دمشق سوري الجنسيه مقيم في السعوديه,book_flight
2288,عايز تكت من حلب لبيروت,book_flight
2294,حاب احجز تذكرة من الشارقة الى حلب,book_flight
63,و شو تكلفة تغير الموعد,change_book_cost_inquiry
64,اديش تكلفة رسوم التغيير ؟,change_book_cost_inquiry
66,ما هو رسم التعديل,change_book_cost_inquiry
486,كم رسوم التغير اذا كان شهر ؟,change_book_cost_inquiry
497,كم رسوم التغيير,change_book_cost_inquiry
600,اذا اريد ان اغير حجزي من 26/2 الى 20/2 كم هاذا سيكلف,change_book_cost_inquiry
603,ممكن اعرف رسم التغيير,change_book_cost_inquiry
1010,تمام وكم رسوم التغيير,change_book_cost_inquiry
1011,ممكن الاستعلام عن رسوم التغير,change_book_cost_inquiry
1012,عندي حجز بتاريخ 12-2 قدر أعرف اديش تكلفة تأجيل الحجز؟,change_book_cost_inquiry
1013,لو سمحتم اذا اردت تبديل الحجز من الكويت لدمشق من ١٧ فبراير لل٢٤ فبراير هل تكلف اكثر من ١٠ دينار,change_book_cost_inquiry
1014,مرحبا بدي اسأل عن سعر تغيير موعد الحجز,change_book_cost_inquiry
1934,لو سمحت ازا بدي غير موعد الحجز لموعد أبكر شو بتكون الرسوم,change_book_cost_inquiry
2027,كم رسوم التغير,change_book_cost_inquiry
2172,كم الغرامة على تعديل حجز الطيران موعد 27الشهر الحالي الفيزا صالحة لموعد 4/5,change_book_cost_inquiry
2245,رحلتي يوم الجمعة لو احببت التأجيل أسبوع كم التكلفة,change_book_cost_inquiry
1030,في اي شرط لتاجيل,change_book_inquiry
68,لو سمحت انا حاجز على الكويت ذهاب و اياب بتاريخ 2/2 اذا بدي اخليه 2/1 كيف,change_book_inquiry
69,عندي استفسار انا حجزت رحلة علامارات شهر القادم بحسن غير موعد الرحلة ؟,change_book_inquiry
485,كيف يمكنني تمديد حجزي ؟,change_book_inquiry
607,"أنا حجزت من دمشق الى اربيل يوم ١٣/١ يوم الجمعة من فترة وحاليا مضطر غير الحجز ل ٢٠/١ يعني بعد بأسبوع، ممكن هالشي؟",change_book_inquiry
609,السلام عليكم بدي اعدل حجزي,change_book_inquiry
610,هل يمكن تغيير حجز العودة؟؟؟,change_book_inquiry
1016,عندي حجز بتاريخ 2/8 بدي أسأل كيف فيني أجل الحجز لغير تاريخ,change_book_inquiry
1019,هل استطيع تبديل التذكرة من درجة رجال الاعمال الى الدرجة الاقتصادية,change_book_inquiry
1021,اذا بدي غير الحجز لازم عن طريق المكتب؟,change_book_inquiry
1022,عندي حجز بتاريخ ٢٥ هذا الشهر و اريد تعديل التاريخ,change_book_inquiry
1023,لو سمحت انا حاجر عالاجنحة برحلة بتاريخ ٢٣ الشهر  بحقلي غير موعد الرحلة لموعد أقرب في حال في مقاعد فاضية,change_book_inquiry
1024,هل من الممكن تعديل العودة على رحلة الشارقة من دمشق تاريخ 14 /2,change_book_inquiry
1026,كيف يمكنني تأخير تاريخ الحجز,change_book_inquiry
1027,لو سمحت اريد الاستفسار اذا كنت أريد تأجيل حجز خلال اقل من ٢٤ ساعة ما هي الاجراءات,change_book_inquiry
1028,بدي غير الحجز هل ممكن؟,change_book_inquiry
1029,"لو عطيتكم رقم الحجز، ما بيصير تغيرو الموعد من هندكم ؟ انا بالامارات وفي ضرف طارئ لازم ارجع للشام",change_book_inquiry
1031,انا حابه غير موعد رحلتي,change_book_inquiry
1032,حجز والدتي 26308147 هل من الممكن تعديل العودة,change_book_inquiry
1033,اريد تعديل حجز رحلة العودة,change_book_inquiry
1034,اريد تغيير موعد الحجز,change_book_inquiry
1035,حجزت روحة رجعت من سوريا للكويت  وأريد تأخير الرجعة حيث انني حاليا بالكويت.,change_book_inquiry
1036,بدي اجل الرحلة اذا في مجال,change_book_inquiry
1299,"ارغب في تحويل حجزي الى مع الأمتعة وهو حاليا"" بدون أمتعة",change_book_inquiry
1312,لو سمحت عندي استفسار عن امكانية تغيير موعد حجز,change_book_inquiry
1323,"هل مسموح تغير تاريخ الحجز على تذاكركم ،  عندي مسافر الشارقه دمشق تاريخ السفر 3/7، و العودة 4/12 دمشق الشارقه",change_book_inquiry
1338,"عندي حجز اليوم للكويت كيف ممكن أجلو ، انا موجود بدمشق حاليا",change_book_inquiry
1452,إذا بدي حول تذكرتي من سياحية لبزنس,change_book_inquiry
1466,عندي في حجزي في حرف فالكنية نكتب غلط ممكن نعدلو,change_book_inquiry
1476,اريد تاجيل موعد رحلتي من اليوم الي يوم السبت الموافق,change_book_inquiry
1620,سلام عليكم كيف فيني اعدل موعد رحلتي,change_book_inquiry
1675,انا عندي حجز ذهاب وعودة من أربيل إلى دمشق هل يمكنني تغير موعد العودة ؟؟,change_book_inquiry
1738,عندي رحلة من اربيل الى دمشق وبدي غير الموعد تبعا كيف بقدر,change_book_inquiry
1833,من فضلك ارغب بتبديل موعد رحلتي,change_book_inquiry
1834,كانت رجعتي من دبي ٢ نيسان اريد ان اقرب الموعد,change_book_inquiry
1843,كنت حابب اسال حضرتك عن امكانية تاجيل رحلتي,change_book_inquiry
1846,اريد ان اعرف امكانية تاجيل التذكرة ليوم ٢٢ مارس,change_book_inquiry
1856,وبدي اجل التذكرة لتاريخ 4/16,change_book_inquiry
1908,لو سمحت كيف فيني اعدل على الحجز,change_book_inquiry
1955,طيب سؤال تاني اذا بدي عدل الحجز وقربو مثلا ليوم الخميس الامكانية متاحة,change_book_inquiry
2026,اريد اغير موعد الرحله,change_book_inquiry
2095,تغيير الحجز,change_book_inquiry
2166,هل استطيع تغيير موعد الرحلة,change_book_inquiry
2290,اريد تعديل معلومات تذكرة الطيران,change_book_inquiry
128,لو سمحت بدي تعطيني ساعات السفر من دمشق الى الرياض,flight_info_inquiry
101,انا حاجز معكن رحلة من بيروت ل حلب يوم ٨ الرحلة التغت و تحولت للشام هالكلام صحيح ؟,flight_info_inquiry
102,رحلة دمشق الشارقة كم رح تتأخر,flight_info_inquiry
104,لوسمحت ايمتا وقت الرحله يوم ٢٤,flight_info_inquiry
105,ازا سمحتو طائرة دمشق بنغازي لسا ع موعدا ؟,flight_info_inquiry
106,تواصلت معكن اليوم مشان رحلة دمشق بنغازي و كان صاير عليها تأخير بس بدي استفسر ازا صار تأخير تاني او لساتا الساعة 2:55,flight_info_inquiry
107,رحلة الشارقة دمشق ايمتا بتوصل الطائرة لمطار دمشق,flight_info_inquiry
108,اريد توقيت رحلة بنغازي  دمشق,flight_info_inquiry
110,رحلة اليوم من دمشق الى بنغازي الساعة ٩:١٥ المسا لسا عالموعد ؟,flight_info_inquiry
112,اقلاع طيارة موسكو ايمت صارت,flight_info_inquiry
113,متى تتوقعن وصول رحلة ابو ظبي المحولة لمطار اللاذقية الى مطار دمشق,flight_info_inquiry
114,اذا بتريد اليوم كان في طيارة من دمشق الى اربيل كانت عاساس من 9 الصبح وتأجلت لل7المسا بس بدي اتأكد هلحكي صح اذا بتريد,flight_info_inquiry
115,رحلة الشارقة أقلعت الطائرة من مطار دمشق الدولي؟,flight_info_inquiry
116,مرحبا ما هو موعد إقلاع الطائرة من الشارقة الى دمشق اليوم ؟,flight_info_inquiry
117,"رحلة 31 الشهر الجاري من دمشق الى الشارقة، إيمتا موعدها؟",flight_info_inquiry
118,موعد إقلاع رحلة اليوم من الشارقة الى دمشق,flight_info_inquiry
119,بالنسبة لرحلة اليوم من دمشق إلى الشارقة ما هو التوقت الجديد للإقلاع؟,flight_info_inquiry
120,ازا سمحتو رحلة دمشق بنغازي كان لازم الاقلاع ٩ المسا بعدين تأجل للساعة ٣ و يعني ليكا الساعة صارت ٧ الصبح في مجال تفاصيل بس,flight_info_inquiry
121,ممكن بس بدي استفسر عن آخر رحلة من دمشق لأربيل أي ساعة طلعت,flight_info_inquiry
123,في رحلة اليوم من الشارقة الى دمشق بدي اتاكد انها عالموعد,flight_info_inquiry
124,رحلة الشارقة لحلب غدا اي ساعه توصل,flight_info_inquiry
125,يعطيكم العافيه طائرة اليوم وصلت عالشام,flight_info_inquiry
127,هل يوجد تأخير في الرحلات المغادرة من بيروت إلى حلب,flight_info_inquiry
129,مرحبا صديقي رحلة 31/1 من اربيل إلى دمشق هلا تم تأجيلها أم إلغها,flight_info_inquiry
130,اي ساعة الانطلاق و اي ساعة بتوصل ابوظبي؟,flight_info_inquiry
131,ممكن اتأكد من رقم الحجز 12334243 من حلب للشارقة,flight_info_inquiry
132,رحلة اايوم من الشارقة الى مطار اللاذقية اي ساعة بتوصل بتوقيت اللادقية؟,flight_info_inquiry
133,السلام عليكم لو سمحت رحلة الأجنحة غدا من دمشق هل فيها تغيير إلى الكويت,flight_info_inquiry
134,ايمتىى موعد الرحلة,flight_info_inquiry
491,أريد التأكد من ثبات الحجز,flight_info_inquiry
498,كيف بدي اعرف تاريخ رحلتي,flight_info_inquiry
500,رحلة دمشق بصرة يوم ٢٧ يناير الجمعة كنت قد قمت بالحجز عليها والان لم تظهر ببيانات الحجز هل تم الغائها ام تأجلت ؟,flight_info_inquiry
507,"رحلة أجنحة الشام من اربيل لدمشق يوم ٥ الشهر ، هل تغير موعدها",flight_info_inquiry
508,لو سمحت هل يوجد تاخير ع الطائرة,flight_info_inquiry
515,فيني اتاكد من حجز طيران,flight_info_inquiry
521,لسه الرحلة من قامشلي الى دمشق موجودة لانو مبارح تاجلت,flight_info_inquiry
522,بس  اسال لسه ماتاجلت ؟,flight_info_inquiry
640,هل هناك تغير  في مواعيد رحلات دمشق الكويت يوم الخميس القادم,flight_info_inquiry
641,انا عندي رحلة ٥ الشهر من موسكو لدمشق  صار في شي اي تغيير و لا الرحلة على حاله,flight_info_inquiry
642,رحلة الشارقة لدمشق  اليوم تاجلت ؟,flight_info_inquiry
643,مواعيد الرحلات فيه تغيير  اليوم من الشارقة الساعه ٤ الى دمشق,flight_info_inquiry
644,لو سمحتم رحلة دمشق اربيل هذه الليلة مستمرة ام تم تأجيلها نتيجة توقف المطار,flight_info_inquiry
646,صباح الخير نحن طيارتنا بكرا عالشام من الكويت شو رح يصير هلأ سمعنا بالاخبار انو مطار دمشق خارج الخدمة,flight_info_inquiry
647,هل رحلة SAW705 قائمة ام لا جراء القصف,flight_info_inquiry
648,رحلة الشارقة من دمشق صباح يوم ٢٠٢٣/١/٢ ما زالت ب موعدها ؟,flight_info_inquiry
649,ممكن اعرف رحلة اليوم من اربيل الى دمشق هل سوف يتم نقل المسار الى حلب,flight_info_inquiry
650,عندي حجز الاسبوع هاد هل في تأجيل ؟؟؟,flight_info_inquiry
652,مرحبا بدي اسأل بخصوص حجز رقم 12403607 الرحلة طالعة اليوم ولا المطار موقف,flight_info_inquiry
653,بدي اتاكد من حجز طيران رقم١٢٣٠٢٢١٥,flight_info_inquiry
654,"مرحبا ، يعطيك العافية ، بدي اتاكد اذا الرحلة عوقتها وموعدها ماتغير ،  RESERVATION NUMBER (PNR) 12352129",flight_info_inquiry
656,لو سمحتوا الرحلات بكره الرياض دمشق في عليها تعديلات ؟؟؟,flight_info_inquiry
657,لو سمحتوا في اي تغيير على رحلة دمشق الشارقة ؟,flight_info_inquiry
658,وهل لي أن أعرف اذا كان هنالك أي تأخير في رحلة دمشق من مطار أبو ظبي؟,flight_info_inquiry
659,لو سمحت في رحلة من دمشق ع القامشلي ع اساس ١٠ ونص وتأجلت فينا نعرف لأيساعة تأجلت,flight_info_inquiry
660,12369941 اختي مرحبا  بخصوص الحجز الي فوق هل تم الغاءه؟,flight_info_inquiry
661,يعطيك العافية بدي اتاكد من موعد الرحلة اذا في تغيير او لا 3862302974711/2 3862302974710/2  3862302974712/2 رحلة رقم 6Q742,flight_info_inquiry
662,لو سمحت بدي اتاكد من موعد الرحلة والحجز,flight_info_inquiry
664,لو سمحتو بدي استفسر عن موعد رحلة اربيل دمشق بكرا 30 /12 إذا لسا على نفس الموعد. محمد كنعان الجندلي الرفاعي,flight_info_inquiry
665,موعد وصول طائرة اجنحة الشام. موعد وصول رحلة الشارقة حلب 31/12/2022,flight_info_inquiry
666,طيارة الشارقة دمشق كانت الساعة 6ونص. وتغيرت لل10. اجاني مسج من عندكم من السيستيم. وتواصلت معنا مندوبة المكتب فلاي اند مور. بس وصلنا مسج عالواتس اب انو الطيارة صارت 4 بس ماوصل مسج من السيستيم عندك,flight_info_inquiry
667,مرحبا رحلة العودة صارت الساعة 2.55؟,flight_info_inquiry
668,بالنسبة للرحلة لسا قائمة ؟,flight_info_inquiry
669,الطيارة لأربيل امتى طلعت اليوم عاساس 9.45 من دمشق لاربيل,flight_info_inquiry
670,مرحبا لو سمحت اقلعت رحلة دمشق الكويت ؟,flight_info_inquiry
671,"ما هو التوقيت، اي ساعة الطيران",flight_info_inquiry
672,بدي اتاكد من حجز طيران رقم الحجز12302215,flight_info_inquiry
673,عملت رزرڤيشن بتاريخ ١٤ الشهر ما وصلني. ايميل ولا عم يطلعلي شي عالوب سايت حابعتلك رقم الpnr 12416683,flight_info_inquiry
674,رحلة اليوم من دمشق الى اربيل متى تهبط باربيل,flight_info_inquiry
675,بخصوص رحلة غدا الى الكويت الساعة العشرة والثلث مؤكدة,flight_info_inquiry
677,ممكن استفسار انا حجزي يوم الخميس 1/12 وقت المغادرة كم من اربيل,flight_info_inquiry
678,كيف يمكنني معرفة تفاصيل الرحلة المحجوزة على الموقع,flight_info_inquiry
679,هل وصلت طيارة موسكو الى. مطار دمشق الدولي اليوم,flight_info_inquiry
680,لو سمحت رحله بكرى من مطار حلب الى الشارقه طرق عليها اي تغير,flight_info_inquiry
